DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
Across 110th Street (Kino Lorber Studio Classics/ Blu-ray)|Kino Lorber Studio Classics||Out|2.0|LBX, 16:9, BLU-RAY|29.95|R|1972|Action/Adventure|1.85:1|738329138226|2014-09-09 00:00:00|267465|2014-09-09 00:00:00|1
Addams Family (1991/ Warner Brothers/ Blu-ray)|Warner Brothers||Out|5.1|LBX, 16:9, BLU-RAY|14.97|PG-13|1991|Comedy|1.85:1|883929409716|2014-09-09 00:00:00|265464|2014-09-09 00:00:00|1
Adobe Flash Professional CC Learn By Video 2014 (DVD-ROM)|Peachpit Press||Out|2.0|4:3|79.99|NR|2014|Special Interest|1.33:1|9780133928099|2014-09-11 00:00:00|267047|2014-09-09 00:00:00|1
Adobe Photoshop 3D Design And Printing (DVD-ROM)|Peachpit Press||Out|2.0|4:3|99.99|NR|2014|Special Interest|1.33:1|9780133930313|2014-09-11 00:00:00|263274|2014-09-09 00:00:00|1
Agents Of S.H.I.E.L.D: The Complete 1st Season|Buena Vista||Out|2.0|LBX, 16:9|45.99|NR|2013|TV Classics|1.78:1|786936839784|2014-09-09 00:00:00|265697|2014-09-09 00:00:00|1
Agents Of S.H.I.E.L.D: The Complete 1st Season (Blu-ray)|Buena Vista||Out|2.0|LBX, 16:9, BLU-RAY|79.99|NR|2013|TV Classics|1.78:1|786936839760|2014-09-09 00:00:00|265651|2014-09-09 00:00:00|1
Air War In Vietnam (Military Heritage Institute)|Military Heritage Institute||Out|2.0|4:3|19.98|NR|UNK|Documentary|1.33:1|723721782160|2014-09-09 00:00:00|267464|2014-09-09 00:00:00|1
Alaska Wilderness Adventure (On Demand DVD-R)|Synergy Entertainment|2014-09-30 00:00:00|Pending|2.0|4:3|14.98|PG|1978|Drama|1.33:1|874757042596|2014-09-30 00:00:00|269657|2014-09-09 00:00:00|0
Amish Mafia: Season 2|Discovery Channel||Out|2.0|LBX, 16:9|29.93|NR|2013|TV Classics|1.78:1|883476144245|2014-09-09 00:00:00|266574|2014-09-09 00:00:00|1
Amityville Horror (1979/ Blu-ray) / The Amityville Horror (2005/ Blu-ray)|MGM/UA||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|19.99|R|VAR|Horror|1.85:1|883904320708|2014-09-09 00:00:00|267768|2014-09-09 00:00:00|1
Amityville Horror Triple Feature|MGM/UA||Out|2.0|LBX, 16:9|19.98|R|VAR|Horror|1.85:1|883904320715|2014-09-09 00:00:00|267612|2014-09-09 00:00:00|1
Animosity|Bloody Earth Films||Out|2.0|LBX, 16:9|19.98|NR|2013|Horror|2.35:1|612385010699|2014-09-09 00:00:00|267298|2014-09-09 00:00:00|1
Anna Netrebko: Live From The Salzburg Festival|Deutsche Grammophon|2014-10-21 00:00:00|Pending|5.1/DTS|LBX, 16:9|32.98|NR|UNK|Music|1.78:1|044007351574|2014-10-21 00:00:00|269645|2014-09-09 00:00:00|0
Anna Netrebko: Live From The Salzburg Festival (Blu-ray)|Deutsche Grammophon|2014-10-21 00:00:00|Pending|5.1/DTS|LBX, 16:9, BLU-RAY|49.98|NR|UNK|Music|1.78:1|044007351628|2014-10-21 00:00:00|269678|2014-09-09 00:00:00|0
Any Given Sunday (Director's Cut/ 15th Anniversary Edition/ Blu-ray)|Warner Brothers||Out|5.1 TRUEHD|LBX, 16:9, BLU-RAY|19.98|NR|1999|Drama|2.35:1|883929413539|2014-09-09 00:00:00|265473|2014-09-09 00:00:00|1
Bee People|True Mind||Out|2.0|LBX, 16:9|19.98|NR|2014|Documentary|1.78:1|826262011895|2014-09-09 00:00:00|267141|2014-09-09 00:00:00|1
Beethoven: The 9 Symphonies: Herbert von Karajan (DVD/CD Combo)|Universal Music International||Out|2.0|4:3|74.98|NR|UNK|Music|1.33:1|028947934424|2014-09-09 00:00:00|268376|2014-09-09 00:00:00|1
Beginners Guide To Mindfulness Meditation With Ira Israel: 10 Days To Change|BayView Films|2014-11-25 00:00:00|Pending|2.0|4:3|19.99|NR|2014|Special Interest|1.33:1|845121078107|2014-11-25 00:00:00|269698|2014-09-09 00:00:00|0
Belle For Christmas|Anchor Bay|2014-11-04 00:00:00|Pending|2.0|4:3|19.98|PG|2014|Family|1.33:1|013132624174|2014-11-04 00:00:00|269687|2014-09-09 00:00:00|0
Bermuda Tentacles|Asylum Home Entertainment||Out|2.0|LBX, 16:9|14.93|NR|2014|SciFi|1.78:1|883476144603|2014-09-09 00:00:00|266610|2014-09-09 00:00:00|1
Bermuda Tentacles (Blu-ray)|Asylum Home Entertainment||Out|2.0|LBX, 16:9, BLU-RAY|19.93|NR|2014|SciFi|1.78:1|883476144610|2014-09-09 00:00:00|266605|2014-09-09 00:00:00|1
Better Off Ted: The Complete 2nd Season|Olive Films|2014-11-04 00:00:00|Pending|2.0|LBX, 16:9|34.95|NR|2010|TV Classics|1.78:1|887090085601|2014-11-04 00:00:00|269641|2014-09-09 00:00:00|0
Beyonce: The Profile (DVD/CD Combo)|Chrome Dreams||Out|2.0|4:3|17.99|NR|VAR|Special Interest|1.33:1|823564641720|2014-09-09 00:00:00|267600|2014-09-09 00:00:00|1
Beyond Strong: On Ball With Jessica R.: Three Total Body Workouts|BayView Films|2014-11-25 00:00:00|Pending|2.0|4:3|19.99|NR|UNK|Exercise|1.33:1|812073020553|2014-11-25 00:00:00|269653|2014-09-09 00:00:00|0
Bing Crosby: The Television Specials, Vol. 2: The Christmas Specials (Infinity Entertainment)|Infinity Entertainment||Discontinued|2.0|4:3|29.98|NR|VAR|TV Classics|1.33:1|617742223194|2010-11-09 00:00:00|189487|2014-09-09 00:00:00|1
Bing Crosby: The Television Specials, Vol. 2: The Christmas Specials (Universal Music & Video)|Universal Music & Video|2014-10-21 00:00:00|Pending|2.0|4:3|24.98|NR|VAR|TV Classics|1.33:1|602537607549|2014-10-21 00:00:00|269635|2014-09-09 00:00:00|0
Black Rider: Revelation Road 3|Pure Flix Entertainment||Out|2.0|LBX, 16:9|14.99|NR|2014|Action/Adventure|1.85:1|857533003677|2014-09-09 00:00:00|264687|2014-09-09 00:00:00|1
Black Rider: Revelation Road 3 (Blu-ray)|Pure Flix Entertainment||Out|2.0|LBX, 16:9, BLU-RAY|14.99|NR|2014|Action/Adventure|1.85:1|857533003684|2014-09-09 00:00:00|264682|2014-09-09 00:00:00|1
Blood Predator (Fenix Pictures)|Fenix Pictures||Out|2.0|LBX, 16:9|19.98|NR|2007|Horror|1.85:1|609408422393|2014-09-09 00:00:00|267446|2014-09-09 00:00:00|1
Blue Bloods: The 1st - 4th Seasons: Four Season Pack|Paramount||Out|5.1|LBX, 16:9|119.98|NR|VAR|TV Classics|1.78:1|032429200259|2014-09-09 00:00:00|266171|2014-09-09 00:00:00|1
Blue Bloods: The 4th Season|Paramount||Out|5.1|LBX, 16:9|64.99|NR|2013|TV Classics|1.78:1|097368049543|2014-09-09 00:00:00|266081|2014-09-09 00:00:00|1
Bluff (2013): The Complete 1st Season|Lost Empire||Out|5.1|4:3|19.95|NR|2013|TV Classics|1.33:1|760137626794|2014-09-09 00:00:00|264576|2014-09-09 00:00:00|1
Bob Ross: The Joy Of Painting: Summer Reflections|Bob Ross|2014-12-02 00:00:00|Pending|2.0|4:3|16.99|NR|UNK|Special Interest|1.33:1|720867010096|2014-12-02 00:00:00|269676|2014-09-09 00:00:00|0
Bob Ross: The Joy Of Painting: Winter Harmony|Bob Ross||Out|2.0|4:3|16.99|NR|2014|Special Interest|1.33:1|720867010058|2014-09-09 00:00:00|267584|2014-09-09 00:00:00|1
Bob Ross: The Joy Of Painting: Winter Nocturne|Bob Ross||Out|2.0|4:3|16.99|NR|2014|Special Interest|1.33:1|720867010065|2014-09-09 00:00:00|267528|2014-09-09 00:00:00|1
Bombers Of WWII|Military Heritage Institute||Out|2.0|4:3|19.98|NR|UNK|Documentary|1.33:1|723721781965|2014-09-09 00:00:00|267430|2014-09-09 00:00:00|1
Borgman|Drafthouse Films||Out|SUB|LBX, 16:9|24.99|NR|2013|Foreign|2.35:1|025192234941|2014-09-09 00:00:00|266631|2014-09-09 00:00:00|1
Borgman (Blu-ray)|Drafthouse Films||Out|SUB|LBX, 16:9, BLU-RAY|29.93|NR|2013|Foreign|2.35:1|025192234958|2014-09-09 00:00:00|266608|2014-09-09 00:00:00|1
Born To Race: Fast Track|Anchor Bay||Out|5.1|LBX, 16:9|22.98|PG|2014|Action/Adventure|2.35:1|013132622972|2014-09-09 00:00:00|266778|2014-09-09 00:00:00|1
Born To Race: Fast Track (Blu-ray)|Anchor Bay||Out|5.1 TRUEHD|LBX, 16:9, BLU-RAY|26.99|PG|2014|Action/Adventure|2.35:1|013132622989|2014-09-09 00:00:00|266858|2014-09-09 00:00:00|1
Brad Pitt 10-Action Movies|Echo Bridge|2014-11-18 00:00:00|Pending|2.0|4:3|14.99|NR|VAR|Action/Adventure|1.33:1|096009362546|2014-11-18 00:00:00|269670|2014-09-09 00:00:00|0
Brick Mansions|Fox||Out|5.1|LBX, 16:9|29.98|PG-13|2014|Action/Adventure|2.35:1|024543969297|2014-09-09 00:00:00|267393|2014-09-09 00:00:00|1
Brick Mansions (Blu-ray w/ Digital Copy)|Fox||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|39.99|PG-13|2014|Action/Adventure|2.35:1|024543969327|2014-09-09 00:00:00|267390|2014-09-09 00:00:00|1
Bro, What Happened? (Unrated Director's Cut)|Uncork'd Entertainment|2014-10-07 00:00:00|Pending|2.0|4:3|14.98|NR|2014|Action/Adventure|1.33:1|816943011634|2014-10-07 00:00:00|269664|2014-09-09 00:00:00|0
Broad City: Season 1|Comedy Central|2014-12-02 00:00:00|Pending|2.0|LBX, 16:9|26.99|NR|2014|TV Classics|1.78:1|032429209290|2014-12-02 00:00:00|269685|2014-09-09 00:00:00|0
Burning Blue|Lions Gate||Out|2.0|LBX, 16:9|26.98|R|2013|Drama|1.85:1|031398202059|2014-09-09 00:00:00|265952|2014-09-09 00:00:00|1
Captain America: The Winter Soldier|Buena Vista||Out|5.1|LBX, 16:9|29.99|PG-13|2014|Action/Adventure|2.35:1|786936842067|2014-09-09 00:00:00|265696|2014-09-09 00:00:00|1
Captain America: The Winter Soldier (Blu-ray 3D/ Blu-ray w/ Digital Copy)|Buena Vista||Out|7.1 DTS-HD|LBX, 16:9, BLU-RAY|39.99|PG-13|2014|Action/Adventure|2.35:1|786936842173|2014-09-09 00:00:00|265629|2014-09-09 00:00:00|1
Captain America: The Winter Soldier (Blu-ray)|Buena Vista||Out|7.1 DTS-HD|LBX, 16:9, BLU-RAY|32.99|PG-13|2014|Action/Adventure|2.35:1|786936842043|2014-09-09 00:00:00|265674|2014-09-09 00:00:00|1
Carlos Kleiber: Complete Orchestral Recordings On Deutsche Grammophon (DVD/CD Combo)|Universal Music International||Out|2.0|4:3|55.92|NR|UNK|Music|1.33:1|028947926870|2014-09-09 00:00:00|268374|2014-09-09 00:00:00|1
Carrie (1976/ 2-Disc)|MGM/UA||Out|5.1|LBX, 16:9|19.98|R|1976|Horror|1.85:1|883904320722|2014-09-09 00:00:00|267624|2014-09-09 00:00:00|1
Carrie Collection (Blu-ray): Carrie (1976) / The Rage: Carrie 2|MGM/UA||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|29.99|R|VAR|Horror|1.85:1|883904320685|2014-09-09 00:00:00|267656|2014-09-09 00:00:00|1
Cartoon Network: Uncle Grandpa: Tiger Trails, Vol. 1|Warner Brothers|2014-12-16 00:00:00|Pending|2.0|4:3|14.97|NR|2013|Animation|1.33:1|883929428151|2014-12-16 00:00:00|269690|2014-09-09 00:00:00|0
Cellmates|Viva Pictures||Out|2.0|LBX, 16:9|14.98|NR|2011|Comedy|1.85:1|816943010286|2012-06-14 00:00:00|269655|2014-09-09 00:00:00|0
Christmas Carol (1949/ On Demand DVD-R)|Synergy Entertainment|2014-09-30 00:00:00|Pending|2.0|4:3|14.98|NR|1949|Family|1.33:1|874757042497|2014-09-30 00:00:00|269644|2014-09-09 00:00:00|0
Circa Survive: Violent Waves (DVD/CD Combo)|Sumerian Records||Out|2.0|4:3|13.98|NR|UNK|Music|1.33:1|817424014212|2014-09-09 00:00:00|268324|2014-09-09 00:00:00|1
Classic Woodwright's Shop: Season 29|Popular Woodworking Books||Out|2.0|4:3|39.99|NR|2014|Special Interest|1.33:1|9781440336539|2014-09-12 00:00:00|259023|2014-09-09 00:00:00|1
Cliff Barrows: Just As I Am: The Music Of The Billy Graham Crusades|Spring House|2014-10-14 00:00:00|Pending|2.0|4:3|17.98|NR|UNK|Music|1.33:1|617884901097|2014-10-14 00:00:00|269636|2014-09-09 00:00:00|0
Clifford / Larger Than Life|TGG Direct||Out|2.0|4:3|15.98|PG|VAR|Family|1.33:1|011891800990|2014-09-05 00:00:00|269686|2014-09-09 00:00:00|0
Clifford The Big Red Dog: Big Fun In The Sun|Family Home/Discovery Video||Out|2.0|4:3|14.98|NR|2003|Family|1.33:1|012236215172|2007-06-05 00:00:00|107393|2014-09-09 00:00:00|1
Clifford The Big Red Dog: Clifford Saves The Day|Family Home/Discovery Video||Out|2.0|4:3|14.98|NR|2003|Family|1.33:1|012236215165|2007-06-05 00:00:00|107392|2014-09-09 00:00:00|1
Clifford The Big Red Dog: Clifford's Schoolhouse|Family Home/Discovery Video||Out|2.0|4:3|14.98|NR|2001|Family|1.33:1|012236215158|2007-06-05 00:00:00|107399|2014-09-09 00:00:00|1
Clifford The Big Red Dog: Clifford: Best Buddies|Family Home/Discovery Video||Out|2.0|4:3|9.98|NR|UNK|Family|1.33:1|012236113331|2011-02-01 00:00:00|193771|2014-09-09 00:00:00|1
Clifford The Big Red Dog: Everyone Loves Clifford! / Good Friends, Good Times|Family Home/Discovery Video||Out|2.0|4:3|7.97|NR|VAR|Family|1.33:1|012236170983|2005-02-01 00:00:00|56255|2014-09-09 00:00:00|1
Clifford The Big Red Dog: Happy Birthday Clifford!|Family Home/Discovery Video||Discontinued|2.0|4:3|14.98|NR|2002|Family|1.33:1|012236215189|2007-06-05 00:00:00|107398|2014-09-09 00:00:00|1
Clifford The Big Red Dog: Playtime With Clifford|Family Home/Discovery Video||Out|2.0|4:3|14.98|NR|2006|Family|1.33:1|012236224334|2008-01-08 00:00:00|124235|2014-09-09 00:00:00|1
Clifford The Big Red Dog: The Best Of Clifford The Big Red Dog (5-Disc)|Family Home/Discovery Video||Out|2.0|4:3|24.98|NR|VAR|Family|1.33:1|031398204848|2006-11-07 00:00:00|92471|2014-09-09 00:00:00|1
Comforting Skin|Uncork'd Entertainment|2014-10-07 00:00:00|Pending|2.0|4:3|14.98|NR|2011|Fantasy|1.33:1|816943011603|2014-10-07 00:00:00|269640|2014-09-09 00:00:00|0
Coopers' Christmas|Anchor Bay||Out|2.0|LBX, 16:9|9.98|NR|2008|Comedy|1.85:1|013132190891|2010-11-16 00:00:00|187731|2014-09-09 00:00:00|1
Cotton Comes To Harlem (Kino Lorber Studio Classics)|Kino Lorber Studio Classics||Out|2.0|LBX, 16:9|19.95|R|1970|Action/Adventure|1.85:1|738329138325|2014-09-09 00:00:00|267467|2014-09-09 00:00:00|1
Cotton Comes To Harlem (Kino Lorber Studio Classics/ Blu-ray)|Kino Lorber Studio Classics||Out|2.0|LBX, 16:9, BLU-RAY|29.95|R|1970|Action/Adventure|1.85:1|738329138424|2014-09-09 00:00:00|267396|2014-09-09 00:00:00|1
Crazy Dog|One 7 Movies||Out|SUB|LBX, 16:9|19.95|NR|2012|Foreign|1.85:1|812592015221|2014-09-09 00:00:00|267973|2014-09-09 00:00:00|1
Crow: Salvation (Miramax Lions Gate)|Miramax Lions Gate||Out|5.1|LBX, 16:9|9.98|R|2000|SciFi|1.85:1|031398177388|2014-09-09 00:00:00|265985|2014-09-09 00:00:00|1
Curse Of Oak Island|A&E Video||Out|2.0|LBX, 16:9|14.98|NR|2004|TV Classics|1.78:1|031398202424|2014-09-09 00:00:00|266105|2014-09-09 00:00:00|1
Dads: The Complete Series|Olive Films|2014-11-04 00:00:00|Pending|2.0|LBX, 16:9|34.95|NR|2013|TV Classics|1.78:1|887090085502|2014-11-04 00:00:00|269667|2014-09-09 00:00:00|0
Danny Thomas Show: Road To Lebanon (On Demand DVD-R)|Synergy Entertainment|2014-09-30 00:00:00|Pending|2.0|4:3|14.98|NR|1966|TV Classics|1.33:1|874757043197|2014-09-30 00:00:00|269694|2014-09-09 00:00:00|0
David Bowie: Becoming Bowie (2-Disc)|Pride||Out|2.0|4:3|26.95|NR|UNK|Music|1.33:1|823564539294|2014-09-09 00:00:00|267035|2014-09-09 00:00:00|1
Dead Within|Millennium Media Services||Out|2.0|LBX, 16:9|19.99|NR|2014|Horror|1.85:1|687797157997|2014-09-09 00:00:00|267091|2014-09-09 00:00:00|1
DeadHeads|FreeStyle Digital Media||Out|2.0|LBX, 16:9|6.99|R|2011|Action/Comedy|1.78:1|850153003102|2014-09-09 00:00:00|266701|2014-09-09 00:00:00|1
Doc McStuffins: School Of Medicine|Buena Vista||Out|2.0|LBX, 16:9|19.99|NR|UNK|Animation|1.78:1|786936841992|2014-09-09 00:00:00|266391|2014-09-09 00:00:00|1
Doctor Who (2005): Deep Breath|BBC Home Video||Out|2.0|LBX, 16:9|19.98|NR|2014|TV Classics|1.78:1|883929428700|2014-09-09 00:00:00|267956|2014-09-09 00:00:00|1
Doctor Who (2005): Deep Breath (Blu-ray)|BBC Home Video||Out|2.0|LBX, 16:9, BLU-RAY|24.98|NR|2014|TV Classics|1.78:1|883929428717|2014-09-09 00:00:00|267940|2014-09-09 00:00:00|1
Donizetti: Belisario|Bongiovanni||Out|2.0|4:3|32.99|NR|UNK|Opera|1.33:1|8007068200276|2014-09-09 00:00:00|268511|2014-09-09 00:00:00|1
Dora The Explorer: Celebrate With Dora|Nickelodeon||Out|2.0|LBX, 16:9|21.99|NR|UNK|Family|1.78:1|032429200990|2014-09-09 00:00:00|266048|2014-09-09 00:00:00|1
Drunk History: Seasons 1 & 2|Comedy Central|2014-11-25 00:00:00|Pending|2.0|LBX, 16:9|29.99|NR|VAR|TV Classics|1.78:1|097368070448|2014-11-25 00:00:00|269701|2014-09-09 00:00:00|0
Dvorak In Love?|Firefly Entertainment||Out|2.0|LBX, 16:9|19.99|NR|UNK|Music|1.78:1|5055810319373|2014-09-09 00:00:00|267939|2014-09-09 00:00:00|1
Dynasty (1981): The 9th Season: The Final Season|Paramount||Out|2.0|4:3|69.99|NR|1988|TV Classics|1.33:1|032429200266|2014-09-09 00:00:00|266180|2014-09-09 00:00:00|1
Dynasty (1981): The 9th Season: The Final Season, Vol. 1|Paramount||Out|2.0|4:3|39.98|NR|1988|TV Classics|1.33:1|032429155924|2014-09-09 00:00:00|266110|2014-09-09 00:00:00|1
Dynasty (1981): The 9th Season: The Final Season, Vol. 2|Paramount||Out|2.0|4:3|39.98|NR|1989|TV Classics|1.33:1|032429157720|2014-09-09 00:00:00|266032|2014-09-09 00:00:00|1
Elementary Algebra Videos On DVD With Chapter Test Prep Videos: Concepts & Applications (DVD-ROM)|Pearson||Out|2.0|4:3|35.33|NR|2013|Special Interest|1.33:1|9780321848239|2014-09-12 00:00:00|237604|2014-09-09 00:00:00|1
En La Brecha: DVD Para Grupo Pequenos (DVD-ROM)|Influence Resources||Out|2.0|4:3|24.99|NR|2014|Special Interest|1.33:1|9781629121000|2014-09-09 00:00:00|265164|2014-09-09 00:00:00|1
En La Brecha: Juego De Materiales Para Grupo Pequenos (DVD-ROM)|Influence Resources||Out|2.0|4:3|34.99|NR|2014|Special Interest|1.33:1|9781629121154|2014-09-09 00:00:00|265077|2014-09-09 00:00:00|1
Family Triple Feature|Inception Media Group||Out|2.0|LBX, 16:9|12.98|G|VAR|Family|1.85:1|815300012529|2014-09-09 00:00:00|266406|2014-09-09 00:00:00|1
Fed Up|Anchor Bay||Out|2.0|LBX, 16:9|24.98|PG|2014|Documentary|1.85:1|013132621388|2014-09-09 00:00:00|267038|2014-09-09 00:00:00|1
Fed Up (Blu-ray)|Anchor Bay||Out|2.0|LBX, 16:9, BLU-RAY|29.99|PG|2014|Documentary|1.85:1|013132621395|2014-09-09 00:00:00|267045|2014-09-09 00:00:00|1
Flowers In The Attic (1987/ Image/ Blu-ray/ Remastered)|Image||Out|2.0 DTS-HD|LBX, 16:9, BLU-RAY|17.97|PG-13|1987|Mystery/Suspense|1.85:1|014381001358|2014-09-09 00:00:00|267276|2014-09-09 00:00:00|1
Funny Thing Happened On The Way To The Forum (Kino Lorber Studio Classics)|Kino Lorber Studio Classics||Out|2.0|LBX, 16:9|19.95|NR|1966|Comedy|1.85:1|738329137724|2014-09-09 00:00:00|267368|2014-09-09 00:00:00|1
Funny Thing Happened On The Way To The Forum (Kino Lorber Studio Classics/ Blu-ray)|Kino Lorber Studio Classics||Out|2.0|LBX, 16:9, BLU-RAY|29.95|NR|1966|Comedy|1.85:1|738329137823|2014-09-09 00:00:00|267432|2014-09-09 00:00:00|1
Galapagos Affair: Satan Came To Eden|Zeitgeist||Out|2.0|LBX, 16:9|29.99|NR|2013|Documentary|1.78:1|795975116435|2014-09-09 00:00:00|266738|2014-09-09 00:00:00|1
Ghosts, Goblins & Ghouls|Anderson Merchandisers||Out|2.0|4:3|10.99|NR|VAR|Family|1.33:1|037117033850|2014-09-09 00:00:00|265879|2014-09-09 00:00:00|1
Gliere: Symphony No. 3 'Il'ya Murometz': Buffalo Philharmonic Orchestra (Audio Only Blu-ray)|Naxos||Out|2.0|4:3, BLU-RAY|19.99|NR|UNK|Music|1.33:1|730099004169|2014-09-09 00:00:00|268474|2014-09-09 00:00:00|1
God's Pocket|IFC||Out|5.1|LBX, 16:9|24.98|R|2014|Drama|2.35:1|030306938592|2014-09-09 00:00:00|266450|2014-09-09 00:00:00|1
God's Pocket (Blu-ray)|IFC||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|29.98|R|2014|Drama|2.35:1|030306193397|2014-09-09 00:00:00|266367|2014-09-09 00:00:00|1
Godzilla 2000 (Blu-ray)|Sony Pictures||Out|5.1 TRUEHD|LBX, 16:9, BLU-RAY|19.99|PG|2000|SciFi|2.35:1|043396446588|2014-09-09 00:00:00|267793|2014-09-09 00:00:00|1
